"Player","Team","Bye","POS","ESPN","ADP"
"","","","1","337","0"
"C.J. Ham","MIN","6","RB66","338","337"
"Cade Stover","HOU","6","TE51","339","338"
"Jimmy Garoppolo","LAR","8","QB53","340","339"
"Will Shipley","PHI","9","RB67","341","340"
"Mecole Hardman Jr.","GB","5","WR99","342","341"
"Ty Chandler","MIN","6","RB68","343","342"
"Braxton Berrios","HOU","6","WR100","344","343"
"Andy Dalton","CAR","14","QB54","345","344"
"Dontayvion Wicks","GB","5","WR101","346","345"
"Zach Wilson","MIA","12","QB55","347","346"
"Matthew Wright","CAR","14","K39","348","347"
"Gardner Minshew II","KC","10","QB56","349","348"
"Adam Trautman","DEN","12","TE52","350","349"
"Tez Johnson","TB","9","WR102","351","350"
"John Ross","","","WR103","352","351"
"Will Dissly","LAC","12","TE53","353","352"
"Julio Jones","","","WR104","354","353"
"Mac Jones","SF","14","QB57","355","354"
"Zack Moss","","","RB69","356","355"
"D.J. Montgomery","IND","11","WR105","357","356"
"","","","2","358","0"
"Noah Fant","CIN","10","TE54","359","357"
"Ainias Smith","PHI","9","WR106","360","358"
"Robbie Chosen","SF","14","WR107","361","359"
"Lil'Jordan Humphrey","NYG","14","WR108","362","360"
"Eddy Pineiro","","","K40","363","361"
"Zane Gonzalez","","","K41","364","362"
"Tai Felton","MIN","6","WR109","365","363"
"Curtis Samuel","BUF","7","WR110","366","364"
"John Bates","WAS","12","TE55","367","365"
"Julius Chestnut","TEN","10","RB70","368","366"
"Leonard Fournette","","","RB71","369","367"
"Spencer Rattler","NO","11","QB58","370","368"
"Cooper Rush","BAL","7","QB59","371","369"
"Johnny Wilson","PHI","9","WR111","372","370"
"Jeremy Ruckert","NYJ","9","TE56","373","371"
"Deuce Vaughn","DAL","10","RB72","374","372"
"Teddy Bridgewater","TB","9","QB60","375","373"
"Tyson Bagent","CHI","5","QB61","376","374"
"Stetson Bennett IV","LAR","8","QB62","377","375"
"Dallin Holker","","","TE57","378","376"
"Trey Lance","LAC","12","QB63","379","377"
"Jacob Kibodi","","","RB73","380","378"
"Lucky Jackson","MIN","6","WR112","381","379"
"George Holani","SEA","8","RB74","382","380"
"Scotty Miller","PIT","5","WR113","383","381"
"Drew Lock","SEA","8","QB64","384","382"
"Patrick Ricard","BAL","7","RB75","385","383"
"Jaylin Lane","WAS","12","WR114","386","384"
"Raheem Blackshear","CAR","14","RB76","387","385"
"Ryan Tannehill","","","QB65","388","386"
"Gavin Bartholomew","MIN","6","TE58","389","387"
"Kyle Allen","DET","8","QB66","390","388"
"Darrell Henderson Jr.","","","RB77","391","389"
"Greg Joseph","","","K42","392","390"
"Derius Davis","LAC","12","WR115","393","391"
"Carson Wentz","","","QB67","394","392"
"Jarrett Stidham","DEN","12","QB68","395","393"
"Gunnar Helm","TEN","10","TE59","396","394"
"Dameon Pierce","HOU","6","RB78","397","395"
"Frank Gore Jr.","BUF","7","RB79","398","396"
"Tylan Wallace","BAL","7","WR116","399","397"
